timestep,reward
15,0.7085
48790,1.795
97509,1.3725
145587,1.605
194637,2.2045
242866,2.969
291509,1.75
337948,1.425
385798,2.2565
435213,3.44
482391,1.7455
530051,3.0735
578265,2.0385
626655,3.15
675554,3.053
722721,2.2235
770048,2.9585
818206,2.617
865828,3.212
912293,3.6535
959846,2.535
1007818,2.873
1056089,2.5
1102928,3.3405
1149996,3.2805
1196843,3.0665
1244472,3.359
1291607,3.5845
1338274,3.571
1386140,3.203
1432949,3.05
1480779,3.167
1528062,4.2295
1575229,3.5665
1622111,4.4185
1669852,3.719
1716233,2.9435
1762330,3.958
1808931,3.7785
1854422,2.6725
1901550,5.154
1949348,3.9115
1995167,3.14
2043135,4.4765
2089068,4.3395
2136090,4.404
2182533,4.093
2229189,4.7425
2275774,4.562
2321482,4.9245
